Library,Accession,Breadth of Coverage
F5,NZ_CP027357.1,0.945361
F5,NC_010499.1,0.920695
F5,NC_025175.1,0.918605
F5,NC_024956.1,0.918319
F5,NZ_CP026741.1,0.876078
F5,NZ_CP028822.1,0.838634
F5,NC_025139.1,0.822253
F5,NZ_CP029744.1,0.806105
F20,NZ_CP027357.1,0.93332
F20,NC_025175.1,0.898994
F20,NC_024956.1,0.8886
F20,NC_025139.1,0.809591
