Refseq,Library,Method,Accession,Length,Mapped,Unmapped
Plasmid1,F5,Bwa-mem,NC_009133.1,94289,1007,2
Plasmid1,F5,Bwa-mem,NC_013728.1,111481,1018,1
Plasmid1,F5,Bwa-mem,NC_023315.1,85507,1075,2
Plasmid1,F5,Bwa-mem,NC_006671.1,101375,1121,3
Plasmid1,F5,Bwa-mem,NC_014384.1,118525,1206,1
Plasmid1,F5,Bwa-mem,NC_013122.1,117536,1208,2
Plasmid1,F5,Bwa-mem,NC_003384.1,218160,1217,5
Plasmid1,F5,Bwa-mem,NC_022996.1,124908,1389,0
Plasmid1,F5,Bwa-mem,NC_022992.1,115452,1417,3
Plasmid1,F5,Bwa-mem,NC_012944.1,138362,1814,10
Plasmid1,F5,Bwa-mem,NC_023326.1,92447,1958,4
Plasmid1,F5,Bwa-mem,NC_025141.1,142875,2446,5
Plasmid1,F5,Bwa-mem,NC_023327.1,168543,3877,12
Plasmid1,F5,Bwa-mem,NC_007675.1,184501,3939,10
Plasmid1,F5,Bwa-mem,NC_011980.1,103275,5224,13
Plasmid1,F5,Bwa-mem,NC_002483.1,99159,5770,10
Plasmid1,F5,Bwa-mem,NC_025179.1,153231,6554,22
Plasmid1,F5,Bwa-mem,NC_014615.1,165657,8440,9
Plasmid1,F5,Bwa-mem,NC_011964.1,124705,8726,14
Plasmid1,F5,Bwa-mem,NZ_CP010316.1,144859,9546,32
Plasmid1,F5,Bwa-mem,NC_020271.1,137728,10557,25
Plasmid1,F5,Bwa-mem,NC_010409.1,151002,12583,22
Plasmid1,F5,Bwa-mem,NC_010488.1,130440,13071,23
Plasmid1,F5,Bwa-mem,NC_009837.1,174241,16824,35
Plasmid1,F5,Bwa-mem,NC_004998.1,125491,18140,28
Plasmid1,F5,Bwa-mem,NC_024956.1,94587,19206,38
Plasmid1,F5,Bwa-mem,NC_025139.1,144925,23323,50
Plasmid1,F5,Bwa-mem,NC_025175.1,166594,46393,93
Plasmid2,F5,Bwa-mem,NZ_CP011314.1,361964,1012,4
Plasmid2,F5,Bwa-mem,NC_013365.1,204604,1016,1
Plasmid2,F5,Bwa-mem,NZ_LN868945.1,147787,1034,29
Plasmid2,F5,Bwa-mem,NC_025106.1,87619,1182,3
Plasmid2,F5,Bwa-mem,NZ_LN868946.1,141119,1300,46
Plasmid2,F5,Bwa-mem,NC_010720.1,75089,1305,4
Plasmid2,F5,Bwa-mem,NZ_CP014577.1,93930,1363,699
Plasmid2,F5,Bwa-mem,NZ_CP013024.1,120611,1451,10
Plasmid2,F5,Bwa-mem,NC_010558.1,168113,1494,7
Plasmid2,F5,Bwa-mem,NZ_CP011065.1,82288,1519,4
Plasmid2,F5,Bwa-mem,NZ_CP014321.1,107507,1564,4
Plasmid2,F5,Bwa-mem,NC_019137.1,107637,1594,9
Plasmid2,F5,Bwa-mem,NC_019122.1,120524,1620,3
Plasmid2,F5,Bwa-mem,NC_013366.1,77690,1639,6
Plasmid2,F5,Bwa-mem,NC_019117.1,117278,1647,6
Plasmid2,F5,Bwa-mem,NZ_CP015077.1,133735,1668,2
Plasmid2,F5,Bwa-mem,NZ_CP012928.1,62920,1753,45
Plasmid2,F5,Bwa-mem,NZ_CP013657.1,143748,1756,1
Plasmid2,F5,Bwa-mem,NZ_CP013833.1,126302,1777,6
Plasmid2,F5,Bwa-mem,NZ_HG941719.1,135602,1823,2
Plasmid2,F5,Bwa-mem,NC_019105.1,88505,1880,4
Plasmid2,F5,Bwa-mem,NZ_CP012683.1,112639,1912,7
Plasmid2,F5,Bwa-mem,NZ_CP011019.1,207265,1921,6
Plasmid2,F5,Bwa-mem,NC_013437.1,117047,2075,3
Plasmid2,F5,Bwa-mem,NZ_CP012835.1,62884,2200,7
Plasmid2,F5,Bwa-mem,NZ_CP011493.1,140232,2294,5
Plasmid2,F5,Bwa-mem,NZ_CP009167.1,108501,2397,6
Plasmid2,F5,Bwa-mem,NC_006816.1,84514,2499,5
Plasmid2,F5,Bwa-mem,NZ_CP013832.1,145221,2620,5
Plasmid2,F5,Bwa-mem,NZ_CP012632.1,93074,2855,4
Plasmid2,F5,Bwa-mem,NZ_CP010372.1,151583,3100,4
Plasmid2,F5,Bwa-mem,NZ_CP010345.1,100061,3751,9
Plasmid2,F5,Bwa-mem,NZ_CP013026.1,63800,3988,10
Plasmid2,F5,Bwa-mem,NZ_LN868944.1,727905,4262,108
Plasmid2,F5,Bwa-mem,NZ_CP013027.1,174564,7308,12
Plasmid2,F5,Bwa-mem,NZ_CP005931.1,194170,7570,18
Plasmid2,F5,Bwa-mem,NZ_CP012626.1,110808,8195,17
Plasmid2,F5,Bwa-mem,NZ_CP009579.1,141804,8990,16
Plasmid2,F5,Bwa-mem,NZ_CP012636.1,149683,10104,31
Plasmid2,F5,Bwa-mem,NC_018954.1,146811,10302,18
Plasmid2,F5,Bwa-mem,NZ_CP006635.1,161511,10339,18
Plasmid2,F5,Bwa-mem,NC_018966.1,146002,10420,29
Plasmid2,F5,Bwa-mem,NZ_CP014489.1,149732,10640,19
Plasmid2,F5,Bwa-mem,NC_011076.1,146811,10652,16
Plasmid2,F5,Bwa-mem,NZ_CP014271.1,232954,11907,65
Plasmid2,F5,Bwa-mem,NZ_CP011496.1,67545,12071,27
Plasmid2,F5,Bwa-mem,NZ_CP014273.1,213924,12172,53
Plasmid2,F5,Bwa-mem,NC_017659.1,147060,28445,103
Plasmid3,F5,Bwa-mem,NZ_CP021204.1,92438,1007,1
Plasmid3,F5,Bwa-mem,NZ_CP022451.1,222470,1076,0
Plasmid3,F5,Bwa-mem,NZ_CP024816.1,176274,1077,4
Plasmid3,F5,Bwa-mem,NZ_CP024831.1,216181,1091,4
Plasmid3,F5,Bwa-mem,NZ_CP023358.1,100008,1115,1
Plasmid3,F5,Bwa-mem,NZ_CP021843.1,78672,1116,0
Plasmid3,F5,Bwa-mem,NZ_CP023378.1,123289,1227,3
Plasmid3,F5,Bwa-mem,NZ_LT904879.1,215515,1263,4
Plasmid3,F5,Bwa-mem,NZ_CP021289.1,147172,1290,1
Plasmid3,F5,Bwa-mem,NZ_CP023145.1,87173,1383,3
Plasmid3,F5,Bwa-mem,NZ_CP021847.1,84091,1427,1
Plasmid3,F5,Bwa-mem,NZ_CP024094.1,20481,1465,1
Plasmid3,F5,Bwa-mem,NZ_CP011493.1,140232,1702,6
Plasmid3,F5,Bwa-mem,NZ_CP021880.1,169449,1858,2
Plasmid3,F5,Bwa-mem,NZ_CP021733.1,114267,1894,2
Plasmid3,F5,Bwa-mem,NZ_CP023372.1,109207,1906,4
Plasmid3,F5,Bwa-mem,NZ_CP024860.1,172588,1996,3
Plasmid3,F5,Bwa-mem,NZ_CP023369.1,66332,2032,9
Plasmid3,F5,Bwa-mem,NZ_CP024856.1,181436,2036,6
Plasmid3,F5,Bwa-mem,NZ_CP024281.1,84894,2259,7
Plasmid3,F5,Bwa-mem,NZ_CP024285.1,127606,2341,1
Plasmid3,F5,Bwa-mem,NZ_CP024287.1,124142,2429,2
Plasmid3,F5,Bwa-mem,NZ_CP024721.1,111776,2475,7
Plasmid3,F5,Bwa-mem,NZ_CP024718.1,111779,2528,2
Plasmid3,F5,Bwa-mem,NZ_CP020493.1,264914,3199,9
Plasmid3,F5,Bwa-mem,NZ_CP023367.1,111523,4089,9
Plasmid3,F5,Bwa-mem,NZ_CP015246.1,118513,5060,14
Plasmid3,F5,Bwa-mem,NZ_CP024827.1,122937,7198,18
Plasmid3,F5,Bwa-mem,NZ_CP023384.1,147369,8002,19
Plasmid3,F5,Bwa-mem,NZ_CP022166.1,173624,8578,25
Plasmid3,F5,Bwa-mem,NZ_CP024852.1,167974,8996,13
Plasmid3,F5,Bwa-mem,NZ_CP023389.1,74094,9942,21
Plasmid3,F5,Bwa-mem,NZ_CP023363.1,134388,10520,19
Plasmid3,F5,Bwa-mem,NC_011747.1,133853,12945,31
Plasmid3,F5,Bwa-mem,NZ_AP017621.1,116529,13593,18
Plasmid3,F5,Bwa-mem,NZ_AP017618.1,116529,13629,29
Plasmid3,F5,Bwa-mem,NZ_CP011916.1,110961,17822,26
Plasmid3,F5,Bwa-mem,NZ_CP018775.2,174847,27970,49
Plasmid3,F5,Bwa-mem,NZ_AP017611.1,168972,31160,53
Plasmid4,F5,Bwa-mem,NZ_CP019014.1,142829,1018,0
Plasmid4,F5,Bwa-mem,NZ_CP024129.1,123884,1067,0
Plasmid4,F5,Bwa-mem,NZ_CP027703.1,173882,1082,1
Plasmid4,F5,Bwa-mem,NZ_CP026754.1,90045,1128,2
Plasmid4,F5,Bwa-mem,NZ_CP021464.1,115864,1138,2
Plasmid4,F5,Bwa-mem,NZ_LN868946.1,141119,1257,47
Plasmid4,F5,Bwa-mem,NZ_CP028168.1,119076,1327,6
Plasmid4,F5,Bwa-mem,NZ_CP015833.1,240662,1463,1
Plasmid4,F5,Bwa-mem,NZ_CP030282.1,111721,1592,6
Plasmid4,F5,Bwa-mem,NZ_CP030791.1,197773,2416,11
Plasmid4,F5,Bwa-mem,NZ_CP013027.1,174564,2488,7
Plasmid4,F5,Bwa-mem,NZ_CP019055.1,184166,2807,5
Plasmid4,F5,Bwa-mem,NZ_CP026494.1,201203,2819,6
Plasmid4,F5,Bwa-mem,NZ_CP025329.1,286854,3152,3
Plasmid4,F5,Bwa-mem,NZ_CP020934.1,151137,3457,12
Plasmid4,F5,Bwa-mem,NZ_CP031107.1,203856,3561,4
Plasmid4,F5,Bwa-mem,NZ_CP010141.1,174041,3566,8
Plasmid4,F5,Bwa-mem,NZ_CP029748.1,276880,3613,9
Plasmid4,F5,Bwa-mem,NZ_CP006635.1,161511,3707,7
Plasmid4,F5,Bwa-mem,NZ_CP024133.1,190293,3823,4
Plasmid4,F5,Bwa-mem,NZ_CP009579.1,141804,3852,7
Plasmid4,F5,Bwa-mem,NZ_CP024137.1,107279,4283,9
Plasmid4,F5,Bwa-mem,NZ_LN868944.1,727905,4315,103
Plasmid4,F5,Bwa-mem,NZ_CP025403.1,133281,4335,8
Plasmid4,F5,Bwa-mem,NC_011076.1,146811,4420,6
Plasmid4,F5,Bwa-mem,NZ_CP018994.1,154853,4435,5
Plasmid4,F5,Bwa-mem,NZ_CP014489.1,149732,4455,11
Plasmid4,F5,Bwa-mem,NZ_CP012636.1,149683,4485,10
Plasmid4,F5,Bwa-mem,NZ_CP026854.1,133843,5036,9
Plasmid4,F5,Bwa-mem,NZ_CP024140.1,166233,5440,6
Plasmid4,F5,Bwa-mem,NZ_CP010149.1,199494,5620,7
Plasmid4,F5,Bwa-mem,NZ_CP027256.1,103336,7052,15
Plasmid4,F5,Bwa-mem,NC_010488.1,130440,8120,16
Plasmid4,F5,Bwa-mem,NZ_CP029243.1,146268,13116,27
